#Rev: sensefly/geoinfo/2
fileName	latitude	longitude	altitude_amsl	altitude_wgs84	heading	pitch	roll
IMG_2306.JPG	35.3845571000	139.4323793000	156.8328247070	197.6897125244	29.7537078857	-5.6152477264	14.1888532639	
IMG_2307.JPG	35.3852012000	139.4323709000	157.4173889160	198.4399261475	350.2185058594	1.0791579485	6.2638678551	
IMG_2308.JPG	35.3859423000	139.4325115000	158.2797698975	199.2897491455	16.0943355560	-1.5247457027	-9.3836278915	
IMG_2309.JPG	35.3865381000	139.4324255000	159.1831359863	200.3076019287	351.2456970215	-1.6717334986	4.9630236626	
IMG_2310.JPG	35.3871453000	139.4325176000	160.0408020020	201.0791931152	18.6704998016	-2.4369208813	-1.6632455587	
IMG_2311.JPG	35.3877603000	139.4324944000	163.1074218750	205.1254119873	363.1495361328	-2.0920002460	9.3759822845	
IMG_2312.JPG	35.3883406000	139.4325378000	163.5318450928	204.9494628906	8.0511808395	0.1719651073	1.8281116486	
IMG_2313.JPG	35.3889351000	139.4324665000	163.5980224609	205.8676757812	355.9497375488	2.4807562828	7.9206466675	
IMG_2314.JPG	35.3895552000	139.4325635000	164.1774139404	205.4329376221	15.9790916443	3.6272222996	-0.1419921219	
IMG_2315.JPG	35.3901637000	139.4325665000	164.0455780029	206.4284820557	8.1192312241	6.2358822823	17.5814247131	
IMG_2316.JPG	35.3907529000	139.4326172000	162.2395172119	204.1098022461	4.9474883080	9.0661592484	-7.8492574692	
IMG_2317.JPG	35.3914012000	139.4326156000	162.6830139160	204.1289672852	13.8027925491	2.0696902275	15.2369413376	
IMG_2318.JPG	35.3919949000	139.4326828000	162.1648864746	203.7977447510	7.4436640739	9.4313945770	3.8244392872	
IMG_2319.JPG	35.3925992000	139.4326817000	160.9894256592	201.7818756104	14.6274080276	-0.0579447709	11.6987304688	
IMG_2320.JPG	35.3926879000	139.4318808000	163.8699798584	203.2886657715	179.0261383057	10.4216585159	-6.8371491432	
IMG_2321.JPG	35.3922476000	139.4318292000	158.1116790771	198.6165466309	189.6038818359	0.4415855110	-8.8729438782	
IMG_2322.JPG	35.3918566000	139.4317716000	159.0883178711	199.9486083984	175.9422454834	5.5551533699	-3.6813538074	
IMG_2323.JPG	35.3914835000	139.4318539000	158.7525329590	199.8731384277	176.3370971680	5.7113804817	4.3814835548	
IMG_2324.JPG	35.3911149000	139.4317702000	159.9053649902	201.9056091309	188.0356597900	-0.1725211143	0.4403053522	
IMG_2325.JPG	35.3907206000	139.4318089000	159.7614593506	201.7907257080	172.9854125977	2.0173630714	-7.4921097755	
IMG_2326.JPG	35.3903106000	139.4317640000	159.9833068848	200.4023590088	185.1194458008	0.9512535930	-8.6377983093	
